Route,TrafficCondition,RoadCondition,WeatherCondition,BusCapacity,AvgSpeed,DistanceToDestination,TimeOfDay,DayType,Delay
Route_1,low,average,foggy,25,24.00378655002818,27.9535075271409,evening,weekday,29.39907703524877
Route_1,low,good,foggy,39,40.499182676959336,6.7874111362710945,afternoon,weekend,23.117598777169498
Route_1,high,average,sunny,26,51.23389167579666,11.184296216706393,evening,weekday,37.62464781394681
Route_1,medium,good,sunny,27,44.58457751224252,22.078878771903845,evening,weekend,15.94760547149842
Route_1,high,average,sunny,24,33.615211533559695,25.614603085068037,morning,weekend,30.972241432543235
Route_1,low,poor,foggy,42,48.01831572010857,7.9299294195350045,night,weekend,22.37922645796267
Route_1,high,poor,sunny,17,30.32728781406363,15.16464759959198,evening,weekday,40.00061742028167
Route_1,low,good,foggy,43,41.33993027549915,8.211364841594255,afternoon,weekday,17.651631135850476
Route_1,high,average,sunny,32,40.68886124875549,26.213281853765984,evening,weekday,32.90967993121153
Route_1,high,average,sunny,11,25.32079800125365,18.762556919463158,night,weekend,32.080166549107474
Route_1,high,good,sunny,26,23.26458022453754,19.473813595623483,morning,weekend,34.07565956250702
Route_1,medium,good,sunny,28,42.248612844808875,24.62529850813616,night,weekend,9.65769918042523
Route_1,medium,average,foggy,40,22.295111922235236,8.660242833236016,evening,weekday,31.34971258350101
Route_1,low,good,rainy,14,52.941738418924956,10.561672125019115,evening,weekday,34.174379905526514
Route_1,high,good,sunny,21,30.344359122823946,14.294025561192305,evening,weekday,26.43842369956875
Route_1,high,good,foggy,11,59.75837839274123,25.409888754282647,morning,weekend,38.58704346095353
Route_1,high,average,foggy,14,25.07950486430145,24.336890053185318,night,weekday,27.828083729916997
Route_1,low,good,sunny,40,56.85009821092218,29.494353949467484,evening,weekend,21.264773187188972
Route_1,medium,average,sunny,46,50.185059932118094,27.547616569277306,evening,weekend,10.357466129717176
Route_1,high,poor,rainy,32,55.058637422328864,28.27832825609378,evening,weekend,43.526442340719576
Route_1,high,poor,foggy,12,32.33358454555918,7.045021535027605,afternoon,weekend,37.19532974630809
Route_1,medium,average,foggy,49,56.91049136541831,18.469639297221747,morning,weekend,16.43282336444866
Route_1,medium,poor,sunny,18,24.895253721878188,16.11058298512625,afternoon,weekday,14.80717349276669
Route_1,high,average,foggy,16,22.677764703211132,7.461820483348676,night,weekday,33.06320418858261
Route_1,medium,average,foggy,12,52.79324955990845,29.777308868627383,morning,weekday,17.645237203730648
Route_1,high,average,rainy,19,30.209106316399055,5.254684859718296,afternoon,weekday,41.094143455120694
Route_1,medium,average,foggy,46,35.744388414280664,18.170484915038536,afternoon,weekday,13.269329813113202
Route_1,low,poor,sunny,33,54.63456499042584,29.448526582511327,morning,weekday,33.54860485810599
Route_1,low,average,foggy,40,55.55579133843214,8.84783577243316,afternoon,weekday,17.794471543533906
Route_1,low,poor,sunny,48,45.3631897273896,17.042604114712475,afternoon,weekday,13.794671272401295
Route_1,high,average,rainy,13,45.55240281015129,24.096622206572025,evening,weekday,53.9123151787047
Route_1,low,good,foggy,13,50.77123424615652,6.2098145177666,afternoon,weekend,24.42031734593907
Route_1,high,poor,foggy,26,33.025809705881514,5.72766631539079,afternoon,weekend,30.896066173776532
Route_1,low,good,foggy,35,52.36393198040079,24.629601059304193,morning,weekday,36.383011198509806
Route_1,high,good,rainy,45,41.24672594588412,22.261899414279043,morning,weekday,47.17249061300128
